Production Plan ID,Year,Planning Season,Season,Item Brand,Business Unit,Item Code,Item Name,Main Sample Code,Main Sample Name,Supplier Raw Material Code,Supplier Raw Material Name,Vendor Code,Vendor Name,Management Factory Code,Management Factory Name,Branch Factory Code,Branch Factory Name,Raw Material Supplier Code,Raw Material Supplier Name,Sewing Difficulty,Department Code,Department Name,Class1 Code,Class1 Name,,Production Plan Type Name,Month Week Flag,Last Update Date,Requested Wh Date,Contracted Date,Transport Method Name,Logistics Type Name,Exf,Order Qty Pcs,Yarn Order Acceptance,Yarn Order Request Date,Yarn Order Answer Date,Yarn Order Actual Date,Yarn Order NO,Yarn Actual Order Qty Pcs,Yarn Update Date,Fabric Order Acceptance,Fabric Order Request Date,Fabric Order Answer Date,Fabric Order Actual Date,Fabric Order NO,Fabric Actual Order Qty Pcs,Fabric Update Date,Color Order Acceptance,Color Order Request Date,Color Order Answer Date,Color Order Actual Date,Color Order NO,Color Actual Order Qty Pcs,Color Update Date,Trim Order Acceptance,Trim Order Request Date,Trim Order Answer Date,Trim Order Actual Date,Trim Order NO,Trim Actual Order Qty Pcs,Trim Update Date,PO Order Acceptance,PO Order Request Date,PO Order Answer Date,PO Order Actual Date,PO Order NO,PO Actual Order Qty Pcs,PO Update Date,Order Qty Pcs (Old),Transport Method Name (Old),Logistics Type Name (Old),Yarn Order Request Date (Old),Fabric Order Request Date (Old),Color Order Request Date (Old),Trim Order Request Date (Old),PO Order Request Date (Old),Status,Display Month WK,Display Month WK Column,Group Cd,2023/07;2023/07/03WK;2023/07/10WK;2023/07/17WK;2023/07/24WK;2023/07/31WK;2023/08;2023/08/07WK;2023/08/14WK;2023/08/21WK;2023/08/28WK;2023/09;2023/09/04WK;2023/09/11WK;2023/09/18WK;2023/09/25WK;2023/10;2023/10/02WK;2023/10/09WK;2023/10/16WK;2023/10/23WK;2023/10/30WK;2023/11;2023/11/06WK;2023/11/13WK;2023/11/20WK;2023/11/27WK;2023/12;2023/12/04WK;2023/12/11WK;2023/12/18WK;2023/12/25WK;2024/01;2024/01/01WK;2024/01/08WK;2024/01/15WK;2024/01/22WK;2024/01/29WK;2024/02;2024/02/05WK;2024/02/12WK;2024/02/19WK;2024/02/26WK;2024/03;2024/03/04WK;2024/03/11WK;2024/03/18WK;2024/03/25WK;2024/04;2024/04/01WK;2024/04/08WK;2024/04/15WK;2024/04/22WK;2024/04/29WK;2024/05;2024/05/06WK;2024/05/13WK;2024/05/20WK;2024/05/27WK;2024/06;2024/06/03WK;2024/06/10WK;2024/06/17WK;2024/06/24WK;2024/07;2024/07/01WK;2024/07/08WK;2024/07/15WK;2024/07/22WK;2024/07/29WK;2024/08;2024/08/05WK;2024/08/12WK;2024/08/19WK;2024/08/26WK;2024/09;2024/09/02WK;2024/09/09WK;2024/09/16WK;2024/09/23WK;2024/09/30WK;2024/10;2024/10/07WK;2024/10/14WK;2024/10/21WK;2024/10/28WK;2024/11;2024/11/04WK;2024/11/11WK;2024/11/18WK;2024/11/25WK;2024/12;2024/12/02WK;2024/12/09WK;2024/12/16WK;2024/12/23WK;2024/12/30WK,Show Color Flag,Order Qty Coeff,Factory Comment,Factory Comment Update Date,FR Fabric Code,FR Fabric Name,Ph1 (First) Discrimination Flag (Old),Ph1 (First) Discrimination Flag,Order Timing Display Value (Old),Order Timing Display Value,Express Line Flag (Old),Express Line Flag,Manual Lock Flag (Old),Manual Lock Flag,Ph1 (First) Discrimination Flag (Now),Order Timing Display Value (Now),Express Line Flag (Now),Manual Lock Flag (Now),Requested Wh Date(Old),EXF,(Color) Recommend,(Trim) Recommend,(PO)Recommend,BD-EXF DL Setting LT(Before Cal),PO-EXF DL Setting LT(Before Cal),Material Supplier Holiday Excluding,Sewing FTY Holiday Excluding,BD-EXF DL Setting LT,PO-EXF DL Setting LT,BD-EXF Registered LT,PO-EXF Registered LT,BD-EXF(total) Abnormal LT,PO-EXF(total) Abnormal LT,Abnormal LT Reason BD1,Abnormal LT Reason BD2,Abnormal LT Reason BD3,Abnormal LT Reason BD4,Abnormal LT Reason BD5,Abnormal LT BD1,Abnormal LT BD2,Abnormal LT BD3,Abnormal LT BD4,Abnormal LT BD5,Abnormal LT Reason PO1,Abnormal LT Reason PO2,Abnormal LT Reason PO3,Abnormal LT Reason PO4,Abnormal LT Reason PO5,Abnormal LT PO1,Abnormal LT PO2,Abnormal LT PO3,Abnormal LT PO4,Abnormal LT PO5
85583104,2024,SS,Sp,UNIQLO,UQAU,466026,W's cotton relaxed ankle pants (solid),14274H018D,W's cotton relaxed ankle pants,A121A041,W's Cotton ankle pant,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,2.5,2,Women,7,inner & living,,Ph1,1,6/29/2023,11/15/2023,9/21/2023,Ship,,9/14/2023,5136,N,,,,,,45:26.1,Y,6/20/2023,,6/20/2023,F1424-0005154187-001,5000,45:26.1,N,,,,,,45:26.1,N,7/4/2023,,7/2/2023,T1424-466026-001,5136,45:26.1,N,7/18/2023,,,,,45:26.1,5000,,,,,,,,2,2023/08,6,25;27,,2,12840,,45:26.1,WOV0017564,W's Cotton ankle pant,,,,,,,,,Y,1st,N,Y,,9/14/2023,,,,72,58,0,9,63,49,,,,,,,,,,,,,,,,,,,,,,,,
86174035,2024,SS,Su,UNIQLO,UQCD,467052,W's cotton easy shorts (solid) shorter length,17274N137B,W's cotton easy shorts (solid) (OS length),A121A041,W's Cotton ankle pant,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,1,2,Women,7,inner & living,,Ph1,1,7/3/2023,12/15/2023,9/24/2023,Ship,,9/17/2023,6000,N,,,,,,56:44.9,N,7/7/2023,,,,,56:44.9,N,,,,,,56:44.9,N,7/18/2023,,,,,56:44.9,N,7/25/2023,,,,,56:44.9,,,,,6/30/2023,,6/30/2023,,2,2023/09,11,28;358,,2,6000,,56:44.9,WOV0017564,W's Cotton ankle pant,,,,,,,,,Y,1st,N,Y,,9/17/2023,,,,61,54,0,9,52,45,,,,,,,,,,,,,,,,,,,,,,,,
86078717,2024,SS,Su,UNIQLO,UQCD,467053,W's cotton easy shorts (striped) shorter length,17274N156B,W's cotton easy shorts (striped) (OS length),A121A041,W's Cotton ankle pant,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,1,2,Women,7,inner & living,,Ph1,1,7/3/2023,12/15/2023,9/24/2023,Ship,,9/17/2023,1500,N,,,,,,56:44.9,N,7/7/2023,,,,,56:44.9,N,,,,,,56:44.9,N,7/18/2023,,,,,56:44.9,N,7/25/2023,,,,,56:44.9,,,,,7/11/2023,,7/11/2023,8/18/2023,2,2023/09,11,29;365,,2,1500,,56:44.9,WOV0017564,W's Cotton ankle pant,,,,,,,,,Y,1st,N,Y,,9/17/2023,,,,61,54,0,9,52,45,,,,,,,,,,,,,,,,,,,,,,,,
86181515,2024,SS,Sp,UNIQLO,UQAU,466027,W's cotton relaxed ankle pants (striped),14274H081D,W's cotton relaxed ankle pants (striped),A121A041,W's Cotton ankle pant,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,2.8,2,Women,7,inner & living,,Ph1,1,7/4/2023,11/24/2023,9/30/2023,Ship,,9/23/2023,1900,N,,,,,,25:56.2,N,,,,,,25:56.2,N,,,,,,25:56.2,N,,,,,,25:56.2,N,,,,,,25:56.2,,,,,,,,,1,2023/09,11,26;38,,1,5320,,25:56.2,WOV0017564,W's Cotton ankle pant,,Y,,1st,,N,,Y,Y,1st,N,Y,,9/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734349,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,6/27/2023,11/15/2023,10/7/2023,Ship,ADC,9/30/2023,30080,N,,,,,,45:34.3,N,,,5/26/2023,EFUQ24-WOV0010806-003,30080,45:34.3,N,,,,,,45:34.3,N,6/30/2023,,6/30/2023,T0124-466749-001,30080,45:34.3,N,7/14/2023,,,,,45:34.3,,,MDC,,,,,6/22/2023,2,2023/08,6,1;243,,0,69184,,21:21.7,WOV0010806,POPLIN,,,,,,,,,Y,1st,N,Y,,9/30/2023,,,,92,78,0,13,79,65,,,,,,,,,,,,,,,,,,,,,,,,
85734379,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,7/4/2023,11/15/2023,10/7/2023,Ship,ADC,9/30/2023,94360,N,,,,,,12:42.0,N,,,5/26/2023,EFUQ24-WOV0010806-003,94360,12:42.0,N,,,,,,12:42.0,N,7/4/2023,,7/2/2023,T0124-466750-001,94360,12:42.0,N,7/14/2023,,,,,12:42.0,30000,,,,,,,6/22/2023,2,2023/08,6,2;278,,2,217028,,43:23.1,WOV0010806,POPLIN,,,,,,,,,Y,1st,N,Y,,9/30/2023,,,,88,78,0,13,75,65,,,,,,,,,,,,,,,,,,,,,,,,
85734183,2024,SS,Sp,UNIQLO,UQTW,464313,Woven trunks,10374H077C,Woven trunks,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,6/19/2023,11/15/2023,10/11/2023,Ship,,10/4/2023,5532,N,,,,,,58:41.1,N,6/13/2023,,6/13/2023,F1024-0005143678-002,3000,58:41.1,N,,,,,,58:41.1,N,6/15/2023,,6/18/2023,T1024-464313-002,5532,58:41.1,N,7/7/2023,,,,,58:41.1,3000,,,,,,,6/22/2023,2,2023/08,6,18;87,,0,12724,,34:25.3,WOV0016099,Mens Trunk -Yarn Dyed,,,,,,,,,Y,1st,N,Y,,10/4/2023,,,,111,89,0,16,95,73,,,,,,,,,,,,,,,,,,,,,,,,
85734253,2024,SS,Sp,UNIQLO,UQTW,466745,Woven london striped trunks,10374H078C,Woven london striped trunks,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,6/19/2023,11/15/2023,10/11/2023,Ship,,10/4/2023,6168,N,,,,,,58:41.1,N,6/13/2023,,6/13/2023,F1024-0005143678-010,3000,58:41.1,N,,,,,,58:41.1,N,6/15/2023,,6/18/2023,T1024-466745-001,6168,58:41.1,N,7/7/2023,,,,,58:41.1,3000,,,,,,,6/22/2023,2,2023/08,6,19;130,,0,14186,,34:25.3,WOV0016099,Mens Trunk -Yarn Dyed,,,,,,,,,Y,1st,N,Y,,10/4/2023,,,,111,89,0,16,95,73,,,,,,,,,,,,,,,,,,,,,,,,
85734280,2024,SS,Sp,UNIQLO,UQTW,466747,Woven checked trunks A,10374H080C,Woven checked trunks A,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,6/29/2023,11/15/2023,10/11/2023,Ship,,10/4/2023,3000,N,,,,,,08:32.1,N,6/30/2023,,,,,08:32.1,N,,,,,,08:32.1,N,7/4/2023,,,,,08:32.1,N,7/25/2023,,,,,08:32.1,,,,,,,6/30/2023,7/14/2023,2,2023/08,6,20;166,,2,6900,,56:14.4,WOV0016099,Mens Trunk -Yarn Dyed,,Y,,1st,,N,,Y,Y,1st,N,Y,,10/4/2023,,,,92,71,0,13,79,58,,,,,,,,,,,,,,,,,,,,,,,,
85734307,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,6/25/2023,11/15/2023,10/11/2023,Ship,,10/4/2023,2000,N,,,,,,40:48.5,N,6/13/2023,,6/13/2023,F1024-0005143678-020,2000,40:48.5,N,,,,,,40:48.5,N,7/4/2023,,,,,40:48.5,N,7/25/2023,,,,,40:48.5,,,,,,,6/30/2023,7/14/2023,2,2023/08,6,21;208,,0,4600,,56:14.4,WOV0016099,Mens Trunk -Yarn Dyed,,Y,,1st,,N,,Y,Y,1st,N,Y,,10/4/2023,,,,92,71,0,13,79,58,,,,,,,,,,,,,,,,,,,,,,,,
85734370,2024,SS,Sp,UNIQLO,UQTW,466749,Woven dotted trunks,10374H082C,Woven dotted trunks,1400110WWS,POPLIN,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,6/20/2023,11/15/2023,10/11/2023,Ship,,10/4/2023,8220,N,,,,,,31:41.0,N,,,5/26/2023,EFUQ24-WOV0010806-003,8220,31:41.0,N,,,,,,31:41.0,N,6/15/2023,,6/18/2023,T1024-466749-001,8220,31:41.0,N,7/14/2023,,,,,31:41.0,3000,,,,,,,6/22/2023,2,2023/08,6,22;257,,0,18906,,34:25.3,WOV0010806,POPLIN,,,,,,,,,Y,1st,N,Y,,10/4/2023,,,,111,82,0,15,96,67,,,,,,,,,,,,,,,,,,,,,,,,
85734397,2024,SS,Sp,UNIQLO,UQTW,466750,Woven printed trunks,10374H083C,Woven printed trunks,1400110WWS,POPLIN,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,6/20/2023,11/15/2023,10/11/2023,Ship,,10/4/2023,9096,N,,,,,,31:41.0,N,,,5/26/2023,EFUQ24-WOV0010806-003,9096,31:41.0,N,,,,,,31:41.0,N,6/15/2023,,6/18/2023,T1024-466750-001,9096,31:41.0,N,7/14/2023,,,,,31:41.0,4000,,,,,,,6/22/2023,2,2023/08,6,23;293,,0,20921,,34:25.3,WOV0010806,POPLIN,,,,,,,,,Y,1st,N,Y,,10/4/2023,,,,111,82,0,15,96,67,,,,,,,,,,,,,,,,,,,,,,,,
85852147,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,7/4/2023,11/24/2023,10/16/2023,Ship,ADC,10/9/2023,5060,N,,,,,,12:42.0,N,,,5/26/2023,EFUQ24-WOV0010806-003,5060,12:42.0,N,,,,,,12:42.0,N,7/4/2023,,7/2/2023,T0124-466750-002,5060,12:42.0,N,7/14/2023,,,,,12:42.0,5000,,,,,,,6/22/2023,2,2023/09,11,2;279,,2,11638,,43:23.1,WOV0010806,POPLIN,,,,,,,,,N,2nd,N,Y,,10/9/2023,,,,97,87,0,16,81,71,,,,,,,,,,,,,,,,,,,,,,,,
85910745,2024,SS,Sp,UNIQLO,UQTW,466748,Woven  checked trunks B,10374H081C,Woven  checked trunks B,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph2,1,6/29/2023,11/22/2023,10/18/2023,Ship,,10/11/2023,4000,N,,,,,,08:09.1,N,6/30/2023,,,,,08:09.1,N,,,,,,08:09.1,N,7/4/2023,,,,,08:09.1,N,7/25/2023,,,,,08:09.1,830,,,,,,6/30/2023,7/14/2023,2,2023/09,11,21;209,,2,9200,,08:09.1,WOV0016099,Mens Trunk -Yarn Dyed,,,,,,,,,N,2nd,N,Y,11/24/2023,10/11/2023,,,,99,78,0,14,85,64,,,,,,,,,,,,,,,,,,,,,,,,
85911603,2024,SS,Sp,UNIQLO,UQTW,466749,Woven dotted trunks,10374H082C,Woven dotted trunks,1400110WWS,POPLIN,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph1,1,7/4/2023,11/24/2023,10/20/2023,Ship,,10/13/2023,960,N,,,,,,12:42.0,N,,,5/26/2023,EFUQ24-WOV0010806-003,960,12:42.0,N,,,,,,12:42.0,N,7/4/2023,,7/2/2023,T1024-466749-003,960,12:42.0,N,7/14/2023,,,,,12:42.0,,,,,,,,,2,2023/09,11,22;258,,2,2208,,54:32.3,WOV0010806,POPLIN,Y,N,1st,2nd,,,,,N,2nd,N,Y,,10/13/2023,,,,101,91,0,16,85,75,,,,,,,,,,,,,,,,,,,,,,,,
85826750,2024,SS,Sp,UNIQLO,UQAU,466026,W's cotton relaxed ankle pants (solid),14274H018D,W's cotton relaxed ankle pants,A121A041,W's Cotton ankle pant,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0V05,VARDHAMAN,2.5,2,Women,7,inner & living,,Ph2,1,6/29/2023,12/15/2023,10/21/2023,Ship,,10/14/2023,3000,N,,,,,,38:06.2,Y,7/25/2023,,,,,38:06.2,N,,,,,,38:06.2,N,8/1/2023,,,,,38:06.2,N,8/15/2023,,,,,38:06.2,,,,,6/27/2023,,7/4/2023,7/18/2023,2,2023/10,16,25;28,,2,7500,,38:06.2,WOV0017564,W's Cotton ankle pant,,,3rd,2nd,,,,,N,2nd,N,Y,12/13/2023,10/14/2023,,,,74,60,1,10,63,50,,,,,,,,,,,,,,,,,,,,,,,,
85734350,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph2,1,7/4/2023,11/30/2023,10/22/2023,Ship,ADC,10/15/2023,14520,N,,,,,,12:42.0,N,,,5/26/2023,EFUQ24-WOV0010806-003,14520,12:42.0,N,,,,,,12:42.0,N,7/4/2023,,7/2/2023,T0124-466749-002,14520,12:42.0,N,7/14/2023,,,,,12:42.0,,,,,,,,6/22/2023,2,2023/09,11,1;244,,2,33396,,37:43.6,WOV0010806,POPLIN,,,1st,2nd,,,,,N,2nd,N,Y,,10/15/2023,,,,103,93,0,17,86,76,,,,,,,,,,,,,,,,,,,,,,,,
85734380,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph2,1,7/4/2023,11/30/2023,10/22/2023,Ship,ADC,10/15/2023,20160,N,,,,,,12:42.0,N,,,5/26/2023,EFUQ24-WOV0010806-003,20160,12:42.0,N,,,,,,12:42.0,N,7/4/2023,,7/2/2023,T0124-466750-003,20160,12:42.0,N,7/14/2023,,,,,12:42.0,20000,,,,,,,6/22/2023,2,2023/09,11,2;280,,2,46368,,43:23.1,WOV0010806,POPLIN,,,,,,,,,N,3rd,N,Y,,10/15/2023,,,,103,93,0,17,86,76,,,,,,,,,,,,,,,,,,,,,,,,
85960386,2024,SS,Sp,UNIQLO,UQEU,463918,Slim fit chino pants,07324H011C,Slim fit chino pants 34inch,TKC5886_TKCS5886-withbrushed,warp yarn supima stretch twill,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0Z21,"THAI KURABO CO.,LTD.(TKC)",6.8,3,Men,2,bottoms,,Ph1,1,7/3/2023,11/24/2023,10/22/2023,Ship,,10/15/2023,8016,N,,,,,,02:04.0,Y,6/27/2023,,6/27/2023,F0724-0005121608-001,8000,02:04.0,Y,6/27/2023,,6/27/2023,C0724-463918-001,8016,02:04.0,N,7/7/2023,,,,,02:04.0,N,7/18/2023,,,,,02:04.0,8000,,,,,,7/4/2023,7/11/2023,2,2023/09,11,6;47,,2,54509,,30:55.9,WOV0010765,warp yarn supima stretch twill,,,,,,,,,Y,1st,N,Y,,10/15/2023,,,,110,89,0,16,94,73,,,,,,,,,,,,,,,,,,,,,,,,
85963096,2024,SS,Sp,UNIQLO,UQEU,463918,Slim fit chino pants,07324H011D,Slim fit chino pants EC L32inch,TKC5886_TKCS5886-withbrushed,warp yarn supima stretch twill,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0Z21,"THAI KURABO CO.,LTD.(TKC)",6.8,3,Men,2,bottoms,,Ph1,1,7/3/2023,11/24/2023,10/22/2023,Ship,,10/15/2023,45048,N,,,,,,02:04.0,N,6/27/2023,,6/27/2023,F0724-0005121608-002,55000,02:04.0,N,6/27/2023,,6/27/2023,C0724-463918-004,45048,02:04.0,N,7/7/2023,,,,,02:04.0,N,7/18/2023,,,,,02:04.0,55152,,,,,,7/4/2023,7/11/2023,2,2023/08,6,7;60,,2,306326,,08:50.1,WOV0010765,warp yarn supima stretch twill,,,,,,,,,Y,1st,N,Y,,10/15/2023,,,,110,89,0,16,94,73,,,,,,,,,,,,,,,,,,,,,,,,
85963676,2024,SS,Sp,UNIQLO,UQEU,463918,Slim fit chino pants,07324H011E,Slim fit chino pants EC L30inch,TKC5886_TKCS5886-withbrushed,warp yarn supima stretch twill,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],0Z21,"THAI KURABO CO.,LTD.(TKC)",6.8,3,Men,2,bottoms,,Ph1,1,7/3/2023,11/24/2023,10/22/2023,Ship,,10/15/2023,8016,N,,,,,,02:04.0,N,6/27/2023,,6/27/2023,F0724-0005121608-003,8000,02:04.0,N,6/27/2023,,6/27/2023,C0724-463918-003,8016,02:04.0,N,7/7/2023,,,,,02:04.0,N,7/18/2023,,,,,02:04.0,8000,,,,,,7/4/2023,7/11/2023,2,2023/09,11,8;67,,2,54509,,30:55.9,WOV0010765,warp yarn supima stretch twill,,,,,,,,,Y,1st,N,Y,,10/15/2023,,,,110,89,0,16,94,73,,,,,,,,,,,,,,,,,,,,,,,,
85639254,2024,SS,Sp,UNIQLO,UQTW,464313,Woven trunks,10374H077C,Woven trunks,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph2,1,6/19/2023,11/30/2023,10/26/2023,Ship,,10/19/2023,3000,N,,,,,,58:41.1,N,6/13/2023,,6/13/2023,F1024-0005143678-001,3000,58:41.1,N,,,,,,58:41.1,N,6/15/2023,,6/18/2023,T1024-464313-001,3000,58:41.1,N,7/7/2023,,,,,58:41.1,1000,,,,,,,6/22/2023,2,2023/09,11,18;88,,0,6900,,24:54.4,WOV0016099,Mens Trunk -Yarn Dyed,Y,N,1st,2nd,,,N,Y,N,2nd,N,Y,11/24/2023,10/19/2023,,,,126,104,0,18,108,86,,,,,,,,,,,,,,,,,,,,,,,,
85734254,2024,SS,Sp,UNIQLO,UQTW,466745,Woven london striped trunks,10374H078C,Woven london striped trunks,BC1410027Y,Mens Trunk -Yarn Dyed,1390,"G_SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,,Ph2,1,6/20/2023,11/30/2023,10/26/2023,Ship,,10/19/2023,2460,N,,,,,,22:39.8,N,6/13/2023,,6/13/2023,F1024-0005143678-011,2500,22:39.8,N,,,,,,22:39.8,N,6/15/2023,,6/18/2023,T1024-466745-002,2460,22:39.8,N,7/7/2023,,,,,22:39.8,,,,,,,,6/22/2023,2,2023/09,11,19;131,,0,5658,,22:39.8,WOV0016099,Mens Trunk -Yarn Dyed,,,3rd,2nd,,,,,N,2nd,N,Y,,10/19/2023,,,,126,104,0,18,108,86,,,,,,,,,,,,,,,,,,,,,,,,
