Production Plan ID,Year,Planning Season,Season,Item Brand,Business Unit,Item Code,Item Name,Main Sample Code,Main Sample Name,Supplier Raw Material Code,Supplier Raw Material Name,Vendor Code,Vendor Name,Management Factory Code,Management Factory Name,Branch Factory Code,Branch Factory Name,Raw Material Supplier Code,Raw Material Supplier Name,Sewing Difficulty,Department Code,Department Name,Class1 Code,Class1 Name,Production Plan Type Name,Month Week Flag,Last Update Date,Requested Wh Date,Contracted Date,Transport Method Name,Logistics Type Name,Order Qty Pcs,Yarn Order Acceptance,Yarn Order Request Date,Yarn Order Answer Date,Yarn Order Actual Date,Yarn Order NO,Yarn Actual Order Qty Pcs,Yarn Update Date,Fabric Order Acceptance,Fabric Order Request Date,Fabric Order Answer Date,Fabric Order Actual Date,Fabric Order NO,Fabric Actual Order Qty Pcs,Fabric Update Date,Color Order Acceptance,Color Order Request Date,Color Order Answer Date,Color Order Actual Date,Color Order NO,Color Actual Order Qty Pcs,Color Update Date,Trim Order Acceptance,Trim Order Request Date,Trim Order Answer Date,Trim Order Actual Date,Trim Order NO,Trim Actual Order Qty Pcs,Trim Update Date,PO Order Acceptance,PO Order Request Date,PO Order Answer Date,PO Order Actual Date,PO Order NO,PO Actual Order Qty Pcs,PO Update Date,Order Qty Pcs (Old),Transport Method Name (Old),Logistics Type Name (Old),Yarn Order Request Date (Old),Fabric Order Request Date (Old),Color Order Request Date (Old),Trim Order Request Date (Old),PO Order Request Date (Old),Status,Display Month WK,Display Month WK Column,Group Cd,2023/07;2023/07/03WK;2023/07/10WK;2023/07/17WK;2023/07/24WK;2023/07/31WK;2023/08;2023/08/07WK;2023/08/14WK;2023/08/21WK;2023/08/28WK;2023/09;2023/09/04WK;2023/09/11WK;2023/09/18WK;2023/09/25WK;2023/10;2023/10/02WK;2023/10/09WK;2023/10/16WK;2023/10/23WK;2023/10/30WK;2023/11;2023/11/06WK;2023/11/13WK;2023/11/20WK;2023/11/27WK;2023/12;2023/12/04WK;2023/12/11WK;2023/12/18WK;2023/12/25WK;2024/01;2024/01/01WK;2024/01/08WK;2024/01/15WK;2024/01/22WK;2024/01/29WK;2024/02;2024/02/05WK;2024/02/12WK;2024/02/19WK;2024/02/26WK;2024/03;2024/03/04WK;2024/03/11WK;2024/03/18WK;2024/03/25WK;2024/04;2024/04/01WK;2024/04/08WK;2024/04/15WK;2024/04/22WK;2024/04/29WK;2024/05;2024/05/06WK;2024/05/13WK;2024/05/20WK;2024/05/27WK;2024/06;2024/06/03WK;2024/06/10WK;2024/06/17WK;2024/06/24WK;2024/07;2024/07/01WK;2024/07/08WK;2024/07/15WK;2024/07/22WK;2024/07/29WK;2024/08;2024/08/05WK;2024/08/12WK;2024/08/19WK;2024/08/26WK;2024/09;2024/09/02WK;2024/09/09WK;2024/09/16WK;2024/09/23WK;2024/09/30WK;2024/10;2024/10/07WK;2024/10/14WK;2024/10/21WK;2024/10/28WK;2024/11;2024/11/04WK;2024/11/11WK;2024/11/18WK;2024/11/25WK;2024/12;2024/12/02WK;2024/12/09WK;2024/12/16WK;2024/12/23WK;2024/12/30WK,Show Color Flag,Order Qty Coeff,Factory Comment,Factory Comment Update Date,FR Fabric Code,FR Fabric Name,Ph1 (First) Discrimination Flag (Old),Ph1 (First) Discrimination Flag,Order Timing Display Value (Old),Order Timing Display Value,Express Line Flag (Old),Express Line Flag,Manual Lock Flag (Old),Manual Lock Flag,Ph1 (First) Discrimination Flag (Now),Order Timing Display Value (Now),Express Line Flag (Now),Manual Lock Flag (Now),Requested Wh Date(Old),EXF,(Color) Recommend,(Trim) Recommend,(PO)Recommend,BD-EXF DL Setting LT(Before Cal),PO-EXF DL Setting LT(Before Cal),Material Supplier Holiday Excluding,Sewing FTY Holiday Excluding,BD-EXF DL Setting LT,PO-EXF DL Setting LT,BD-EXF Registered LT,PO-EXF Registered LT,BD-EXF(total) Abnormal LT,PO-EXF(total) Abnormal LT,Abnormal LT Reason BD1,Abnormal LT Reason BD2,Abnormal LT Reason BD3,Abnormal LT Reason BD4,Abnormal LT Reason BD5,Abnormal LT BD1,Abnormal LT BD2,Abnormal LT BD3,Abnormal LT BD4,Abnormal LT BD5,Abnormal LT Reason PO1,Abnormal LT Reason PO2,Abnormal LT Reason PO3,Abnormal LT Reason PO4,Abnormal LT Reason PO5,Abnormal LT PO1,Abnormal LT PO2,Abnormal LT PO3,Abnormal LT PO4,Abnormal LT PO5
85734354,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,2/28/2024,1/28/2024,Ship,,15000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/01/01WK,33,1;203,,0,34500,,23:31.3,WOV0010806,POPLIN,,,8th,9th,,,,,N,9th,N,Y,,1/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734356,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,4/30/2024,3/30/2024,Ship,,15000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/03/04WK,44,1;207,,0,34500,,23:31.3,WOV0010806,POPLIN,,,12th,17th,,,,,N,17th,N,Y,,3/23/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85749158,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Stk),0,5/30/2023,4/10/2024,3/10/2024,Ship,,4100,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,,,,,,,,,1,2024/02/26WK,42,1;213,,0,9430,,23:27.3,WOV0010806,POPLIN,,N,,14th,,N,,N,N,14th,N,N,,3/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734357,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,5/30/2024,4/29/2024,Ship,,15000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/04/01WK,49,1;209,,0,34500,,23:31.3,WOV0010806,POPLIN,,,14th,19th,,,,,N,19th,N,Y,,4/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734364,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,1/15/2024,12/15/2023,Ship,,20000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/11/06WK,23,1;200,,0,46000,,56:14.4,WOV0010806,POPLIN,,N,,5th,,N,,Y,N,5th,N,Y,,12/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734365,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,2/15/2024,1/15/2024,Ship,,20000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/12/04WK,28,1;202,,0,46000,,56:14.4,WOV0010806,POPLIN,,N,,7th,,N,,Y,N,7th,N,Y,,1/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734366,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,3/15/2024,2/13/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/01/01WK,33,1;204,,0,46000,,23:31.3,WOV0010806,POPLIN,,,9th,11th,,,,,N,11th,N,Y,,2/6/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734367,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,4/15/2024,3/15/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/02/05WK,39,1;206,,0,46000,,23:31.3,WOV0010806,POPLIN,,,11th,15th,,,,,N,15th,N,Y,,3/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734368,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,5/15/2024,4/14/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/03/04WK,44,1;208,,0,46000,,23:31.3,WOV0010806,POPLIN,,,13th,18th,,,,,N,18th,N,Y,,4/7/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85749157,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Stk),0,5/30/2023,4/24/2024,3/24/2024,Ship,,3900,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,,,,,,,,,1,2024/03/11WK,45,1;214,,0,8970,,23:27.3,WOV0010806,POPLIN,,N,,16th,,N,,N,N,16th,N,N,,3/17/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85749159,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Stk),0,5/30/2023,3/27/2024,2/25/2024,Ship,,4200,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,,,,,,,,,1,2024/02/12WK,40,1;212,,0,9660,,23:27.3,WOV0010806,POPLIN,,N,,12th,,N,,N,N,12th,N,N,,2/18/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734353,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,1/30/2024,12/30/2023,Ship,,15000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/12/04WK,28,1;201,,0,34500,,56:14.4,WOV0010806,POPLIN,,N,,6th,,N,,Y,N,6th,N,Y,,12/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734355,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,3/30/2024,2/28/2024,Ship,,15000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/02/05WK,39,1;205,,0,34500,,23:31.3,WOV0010806,POPLIN,,,10th,13th,,,,,N,13th,N,Y,,2/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85806960,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Stk),0,6/1/2023,2/21/2024,1/21/2024,Ship,,4500,N,,,,,,15:49.3,N,,,,,,15:49.3,N,,,,,,15:49.3,N,,,,,,15:49.3,N,,,,,,15:49.3,,,,,,,,,1,2024/01/08WK,34,1;210,,1,10350,,15:49.3,WOV0010806,POPLIN,,N,,8th,,N,,N,N,8th,N,N,,1/14/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85749160,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Stk),0,5/30/2023,3/13/2024,2/11/2024,Ship,,3400,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,N,,,,,,23:27.3,,,,,,,,,1,2024/01/29WK,37,1;211,,0,7820,,23:27.3,WOV0010806,POPLIN,,N,,10th,,N,,N,N,10th,N,N,,2/4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734351,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,12/15/2023,11/14/2023,Ship,,15000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/10/02WK,17,1;198,,0,34500,,56:14.4,WOV0010806,POPLIN,,N,,3rd,,N,,Y,N,3rd,N,Y,,11/7/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734352,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,12/30/2023,11/29/2023,Ship,,15000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/11/06WK,23,1;199,,0,34500,,56:14.4,WOV0010806,POPLIN,,N,,4th,,N,,Y,N,4th,N,Y,,11/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734349,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph1,1,5/30/2023,11/15/2023,10/7/2023,Ship,,30000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/08,6,1;196,,0,69000,,56:14.4,WOV0010806,POPLIN,,Y,,1st,,N,,Y,Y,1st,N,Y,,9/30/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734350,2024,SS,Sp,UNIQLO,UQJP,466749,Woven dotted trunks,01374H082C,Woven dotted trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph2,1,5/30/2023,11/30/2023,10/22/2023,Ship,,15000,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,N,,,,,,56:14.4,,,,,,,,,1,2023/09,11,1;197,,0,34500,,56:14.4,WOV0010806,POPLIN,,N,,2nd,,N,,Y,N,2nd,N,Y,,10/15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734383,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,1/30/2024,12/30/2023,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2023/12/04WK,28,2;233,,0,46000,,23:31.3,WOV0010806,POPLIN,,,6th,7th,,,,,N,7th,N,Y,,12/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734385,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,3/30/2024,2/28/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/02/05WK,39,2;237,,0,46000,,23:31.3,WOV0010806,POPLIN,,,10th,13th,,,,,N,13th,N,Y,,2/21/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734386,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,4/30/2024,3/30/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/03/04WK,44,2;239,,0,46000,,23:31.3,WOV0010806,POPLIN,,,12th,18th,,,,,N,18th,N,Y,,3/23/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734387,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,5/30/2024,4/29/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/04/01WK,49,2;241,,0,46000,,23:31.3,WOV0010806,POPLIN,,,17th,22th,,,,,N,22th,N,Y,,4/22/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734391,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,1/15/2024,12/15/2023,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2023/11/06WK,23,2;232,,0,46000,,23:31.3,WOV0010806,POPLIN,,,5th,6th,,,,,N,6th,N,Y,,12/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734392,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,2/15/2024,1/15/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2023/12/04WK,28,2;234,,0,46000,,23:31.3,WOV0010806,POPLIN,,,7th,8th,,,,,N,8th,N,Y,,1/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734393,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,3/15/2024,2/13/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/01/01WK,33,2;236,,0,46000,,23:31.3,WOV0010806,POPLIN,,,9th,11th,,,,,N,11th,N,Y,,2/6/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85734394,2024,SS,Sp,UNIQLO,UQJP,466750,Woven printed trunks,01374H083C,Woven printed trunks,1400110WWS,POPLIN,8013,"SHAHI EXPORTS PVT.LTD.,",00BT,SHAHI EXPORTS PVT LTD - U1 [WOVEN],00FB,Shahi Exports Pvt Ltd - U1 [Woven],01LV,"T2, SHAHI EXPORTS PVT LTD - U1 [WOVEN]",2.3,3,Men,7,inner & living,Ph3(Adj),0,5/30/2023,4/15/2024,3/15/2024,Ship,,20000,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,N,,,,,,23:31.3,,,,,,,,,2,2024/02/05WK,39,2;238,,0,46000,,23:31.3,WOV0010806,POPLIN,,,11th,16th,,,,,N,16th,N,Y,,3/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
